review_id,article_id,media_id,uid,size,ratings,title,article,ptime
61422,2496122,22718131,29169352,1,5.0,温柔与坚强铸就3亿播放量新番霸权，《鬼灭之刃》为何配位？,《鬼灭之刃》算是近年来王道少年漫画中为数不多的优秀作品了。这几年，在众多王道热血漫画作品中，能成功在“前辈们”的背影下脱颖而出的作品可谓寥若晨星。而这些作品里，却有一部漫画，以十分细腻的人物塑造独具一格，并凭着自身实力赢得了一批核心观众的喜爱，甚至在去年，有幸入选了新时代JUMP的“四大天王”，它就是《鬼灭之刃》。9月28日，《鬼灭之刃》第一季动画正式完结。截止至第26话，《鬼灭之刃》在播放期间共收获了500多万的b站追番与近2亿的播放量，而《鬼灭之刃》的动画效应也成功地打响了原作宣传，《鬼灭之,2019-4-21
75753,3675845,22718131,246336,1,5.0,写给鬼灭之刃的完结感言（评论区发不出来，只好用长评功能了）,试了了两个小时评论还是一次次被吞后，终于崩溃了ORZ前言：一般完结感想都会在评论区发布，但不知为什么评论就是无法发出来，试了两个小时后不得不放弃了，虽然熬夜写（时差）了几个小时，但恐怕还是没人看到。我想了想，还是用长评的方式发出来吧，哪怕只有一两个人看到，我也希望他们能明白，我真的很用心去写这篇感想。哪怕是压榨自己仅有的睡觉时间.。我的每篇完结感想大多在900字+，不过这些都是删减过了的版本，不然会超过评论区限制字数。早知这样应该把完整版（2200字+）保留下来与大家分享。写完结感言已经有五年半,2019-9-29
61444,2496537,22718131,51863250,1,5.0,不是不好，只是不是当初的我们了,鬼灭是一部很慢热的漫画，不过这也是大部分热血漫的缺点，如果你以前看多了火影海贼之类的，就觉绝对不会觉得剧情慢，当初的民工漫发展有多慢，心里都有数。一天的剧情就可以打上几个月，还有中间的回忆等等之类的现在的人看多了快餐番就逐渐失去了耐心，我相信现在看鬼灭觉得慢的人以前应该都是看过三大民工漫，为什么以前不觉得枯燥呢，我敢信那些人回去看民工漫一样看不下去，哪怕以前他们自己觉得多好看我觉得他们一定也很难看看的下去。鬼灭是一部温柔的漫画，也是得到了许多业界大佬肯定的漫画，连蘑菇和富坚老贼都大力捧，他们肯定,2019-4-21
98126,5104112,22718131,8828399,1,1.0,一坨包装华丽的屎,到处都在安利19集封神，那就下来看看。这番整体基本就是看几个人一直在那哔哔赖赖，节奏慢又不展开，实在很难让人提起兴趣，你让我随时关了去干别的都行。很多强行搞笑的片段，前一秒在死人后一秒就突然反转开始卖萌，前一秒严肃后一秒搞笑的桥段真是数不胜数，就不说这样没一点铺垫的情感断层了，你人物的基本逻辑呢？上一面还在死人啊下一秒你就能突然卖萌？ 就好比兵长砍猴的时候突然给你扮个鬼脸，这种段子放以前要被寄刀片的啊，怎么到现在就都能忽略了？是你们太大度还是现在对番的要求已经降到这么低了，真是尬得我脸酸。打斗也,2020-3-14
61431,2496249,22718131,123330934,1,5.0,霸权预订？为了发狂的妹妹，他终将恶鬼灭杀  // 鬼灭之刃,进入四月也两周了，不少新番带着槽点接踵而至，该谈恋爱的谈恋爱，该打棒球的打棒球，该穿越的穿越——该死亡的人，也依旧迎接死亡...（犹豫，就会败北！）也许是审美疲劳的缘故，近年来，以《海贼王》和《我的英雄学院》为首的王道热血漫稍显颓势。而像是《进击的巨人》《约定的梦幻岛》以及《东京喰种》这样，伴随着些许黑暗气息的邪道燃番登基上位，讨得读者欢心。在这样的形势下，来自《周刊少年jump》的新星——《鬼灭之刃》杀出了一条血路，它在秉持着修行、羁绊、打怪、灭族、祖传天赋等一系列卖点的同时，又有着细致入微的,2019-4-21
91083,4641049,22718131,377641363,1,4.0,关于鬼灭之刃饭圈化逐渐严重这个问题,作为早一批看鬼灭的人看着鬼灭这部番一点一点崛起爆发成名，很有成就感（用蕾丝的一句话就是眼光真好）但是！从某一集开始鬼灭的弹幕里多出来了一些饭圈式弹幕，大家看番都不喜欢这样的弹幕，一是因为无意义，二是特别的影响路人缘，三缘一有老婆的那一话出来后某些腐癌喷缘一还上了热搜，这时我已经有预感鬼灭之刃将成为第二个饭圈文化严重的番，希望某些粉丝可以收敛一点别太狂热和无脑，没人喜欢看热血番少年番弹幕里疯狂刷**小天使**一生推**嫁我等等等等这种无意义弹幕和扰乱风气的行为（上一个饭圈文化严重的番叫它英）一切为,2020-2-11
186594,12617105,22718131,309092128,1,1.0,《鬼灭之刃》：无聊的低龄向过誉作品，搞不懂一部新人作者的试水作为什么这么火。,以下文章皆为我主观真实想法，作品大部分缺点某个热评里都提到了这里就写点其它的，本人文笔有限并且一不小心话痨了，希望你能耐心看完。一直以来鬼灭总是被人诟病日轮刀有抄袭死神的斩魂刀的嫌疑，关于这点个人觉得有点牵强毕竟含有带特殊能力的刀的番剧没有几百也有几十，鬼灭只是其中一部罢了。但这之外的部分才是我要吐槽的。首先我要吐槽的是鬼灭的打戏，关于打戏UFO的经费燃烧作画确实没话说，但其优点仅限于它的作画，关于它的战斗系统我只能用“稀碎”来形容，其最主要的战斗方式“呼吸法”是真的看得我一脸懵：每当人物用所谓,2021-8-12
127161,7057957,22718131,332007823,1,2.0,鬼灭真的名副其实吗?三流剧本，一流制作，让人观感一般的德不配位代表作品,以下是我打4分的原因注意:优点加分 缺点减分 10分基础作品本身:1特效很赞，打戏不错（加2分）2后面沙雕，有趣（加1分）3剧情平庸，没有任何反转，没有任何让我意想不到的地方（减4分）4观感不好，非常无聊，也是重要的原因（减5）关于我为啥说鬼灭为啥无聊的问题:（以下三点不包括全部，给人观感无聊是多方面的）1回忆问题，鬼被打败然后说鬼也很可怜，给我感觉跟洗白一样，然后男主感叹鬼也不容易，也不想想鬼当初也要杀你，给人（注:作者本意不是这样，但是没人会在意作者咋想，本身咋样，只会主观去想）一种男主圣母,2020-8-6
137874,7942767,22718131,22683603,1,1.0,宣传+安利+吹得人多=追番人多≠好,史莱姆第二季播完了，从零第二季播完了，我也都追完了，走吧，去看看别装睡了，什么分数？re2前半9.7分？后半9.9分？re2能吹的也就制作组疯狂压榨oped的存在增加单集时长，瑕疵肉眼可见的多，史莱姆2水成那样也能9.1分？现在播的史记，9.7分，800多w追番，把他故事单独拿出来，去掉史莱姆这个IP，再做一个动漫出来放在以前你们也不敢这么给分，我看不懂，但我大受震撼，我都不想评价诸位的审美了，不，是我不敢，不敢恭维，你们的《鬼灭》9.7分看来是情有可原，是不过如此，还敢吹吗？下次,2020-10-13
191717,13165014,22718131,358487001,1,1.0,被粉丝吹上天的低龄向作品,感官刺激为主的低龄向猎奇热血片，搞笑和悲情转换突兀，打怪模式是慢动作+超能力特效+一段回忆煽情，战斗戏在意境、节奏、对抗思路的处理上都比较平庸（功夫都花在想各种设定上了，但拼凑起来逻辑性又很弱），叙事太笨，工具配角，主题缺乏丰富或深刻的意味，台词啰嗦乏味，优点是飞碟社的制作华丽，动画质量比one piece好外简直一直是处。就这样一部平平无奇的作品被粉丝吹上了天，这部作品放十年前跟魔法少女小圆，命运石之门，全职猎人等作品一起的话销量绝对连现在的十分之一都没有，就是一部平庸的作品在圈内大火甚至出圈,2021-9-13
